Tree node label	Excel label	Clade	Clade color	Group Stringent	Group stringent color	Donor	Used in Machine Learning	Cohort
CDFMT-SF110_assembly_filtered	CDFMT-SF110	1	#075C48	carriage	#253342		Yes	EIA
CDFMT-SF115_assembly_filtered	CDFMT-SF115	1	#075C48	carriage	#253342	Donor 8	Yes	EIA
CDFMT-SF123_assembly_filtered	CDFMT-SF123	1	#075C48	carriage	#253342		Yes	EIA
CNTM_0001_1	CNTM_0001_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0004_1	CNTM_0004_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0006_1	CNTM_0006_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0007_1	CNTM_0007_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0008_1	CNTM_0008_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0009_1	CNTM_0009_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0013_1	CNTM_0013_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0014_3	CNTM_0014_3	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0020_1	CNTM_0020_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0022_1	CNTM_0022_1	1	#075C48	carriage	#253342	Donor 24	Yes	CONTAM
CNTM_0029_1	CNTM_0029_1	1	#075C48	carriage	#253342	Donor 16	Yes	CONTAM
CNTM_0032_1	CNTM_0032_1	1	#075C48	carriage	#253342	Donor 10	Yes	CONTAM
CNTM_0033_1	CNTM_0033_1	1	#075C48	carriage	#253342	Donor 14	Yes	CONTAM
CNTM_0034_1	CNTM_0034_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0043_1	CNTM_0043_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0050_1	CNTM_0050_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0055_3	CNTM_0055_3	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0063_1	CNTM_0063_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0065_1	CNTM_0065_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0066_1	CNTM_0066_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0070_1	CNTM_0070_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0071_1	CNTM_0071_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0073_1	CNTM_0073_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0074_1	CNTM_0074_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0080_1	CNTM_0080_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0083_1	CNTM_0083_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0084_1	CNTM_0084_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0085_1	CNTM_0085_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0090_1	CNTM_0090_1	1	#075C48	carriage	#253342	Donor 22	Yes	CONTAM
CNTM_0091_1	CNTM_0091_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0094_1	CNTM_0094_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0107_1	CNTM_0107_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0109_1	CNTM_0109_1	1	#075C48	carriage	#253342	Donor 13	Yes	CONTAM
CNTM_0110_1	CNTM_0110_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0111_1	CNTM_0111_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0116_1	CNTM_0116_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0121_1	CNTM_0121_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0123_1	CNTM_0123_1	1	#075C48	carriage	#253342		Yes	CONTAM
CNTM_0124_1	CNTM_0124_1	1	#075C48	carriage	#253342		Yes	CONTAM
