clade_name,14222000860,14222002214,14224007057,14230002867,14231003578,14243004165,14261008867,14265011111,14266010630,14267004596,14270006297,14275002567,14277001579,14277004053,14280000918,14280007449,14281004042,14281010506,14282006614,14294002223,14294008232,14295003788,14297006897,14297007222,14302008148,14305002017,14306003432,14311005496,14324005059,14324007652,14324011089,14325007894,14333003042,14336009506,14347003386,14364002390,15003000243,15004000359,15007005681,15013006888,15022002052,15022009124,15033005121,15042007560,15047003896,15053004744,15074001085,15075007377,15145002518,15150002251,15172000581,15183009449,15183011312,15202001672,15215011523,15249004285,15272010763,15283000569,15289004143,15292011308,15293011814,15303009944,15314012103,15315001587,15316011366,15318004439,15327002274,15334011102,15338008398,15338009826,15344004809,15344011012,15347000571,15351007633,15357009163,15361005421,15361005627,16025011001,16033004325,16035004712,16037008119,16066007541,16067010441,16074002883,16078009373,16078009942,16083004463,16090010825,16093001566,16112004607,16131011416,16137013172,16144010073,16154004217,16164004776,16182011162,16190004049,16222006583,16226000979,16227004893,16234005390,16245010913,01-S01,02-S01,03-S01,04-S01,05-S01,06-S01,07-S01,08-S01,09-S01,10-S01,11-S01,12-S01,13-S01,14-S01,15-S01,16-S01,17-S01,18-S01,19-S01,20-S01,CNTM_S1,CNTM_S10,CNTM_S11,CNTM_S12,CNTM_S13,CNTM_S14,CNTM_S15,CNTM_S16,CNTM_S17,CNTM_S18,CNTM_S19,CNTM_S2,CNTM_S20,CNTM_S21,CNTM_S22,CNTM_S23,CNTM_S24,CNTM_S25,CNTM_S26,CNTM_S27,CNTM_S28,CNTM_S29,CNTM_S3,CNTM_S30,CNTM_S31,CNTM_S32,CNTM_S33,CNTM_S34,CNTM_S35,CNTM_S36,CNTM_S37,CNTM_S38,CNTM_S39,CNTM_S4,CNTM_S40,CNTM_S41,CNTM_S42,CNTM_S43,CNTM_S44,CNTM_S45,CNTM_S46,CNTM_S47,CNTM_S48,CNTM_S49,CNTM_S5,CNTM_S50,CNTM_S51,CNTM_S52,CNTM_S53,CNTM_S54,CNTM_S55,CNTM_S56,CNTM_S57,CNTM_S58,CNTM_S59,CNTM_S6,CNTM_S60,CNTM_S61,CNTM_S62,CNTM_S63,CNTM_S64,CNTM_S65,CNTM_S66,CNTM_S67,CNTM_S68,CNTM_S69,CNTM_S7,CNTM_S70,CNTM_S71,CNTM_S72,CNTM_S73,CNTM_S74,CNTM_S75,CNTM_S76,CNTM_S77,CNTM_S78,CNTM_S79,CNTM_S8,CNTM_S80,CNTM_S81,CNTM_S82,CNTM_S83,CNTM_S84,CNTM_S85,CNTM_S86,CNTM_S9
k__Bacteria,99.76094,100,100,100,100,100,99.95959,100,100,100,100,100,95.24845,99.99386,100,100,100,100,98.03683,99.85292,99.74594,99.97001,100,100,98.08998,100,99.85574,100,100,98.68103,100,100,99.94172,100,100,99.84747,100,100,100,99.08857,100,100,100,99.77129,100,99.98395,100,99.99892,100,100,100,100,100,99.47972,100,99.77564,100,100,100,100,99.90081,100,100,100,99.99689,99.98754,100,100,99.87536,100,100,100,100,100,99.99094,100,100,100,100,100,100,99.95537,99.63595,99.92203,99.94635,98.86211,100,100,100,99.83573,100,99.96222,100,100,100,100,100,100,99.82626,100,100,100,100,100,100,99.94652,99.39366,100,100,100,99.97009,100,100,100,99.83519,99.96008,100,100,100,99.7805,100,99.5218,99.945,100,100,100,100,100,100,90.11323,99.62157,93.45664,100,99.42617,100,100,99.97222,100,100,100,99.33562,100,100,100,99.95795,61.14245,100,100,100,100,100,100,99.67056,100,93.19391,99.96692,100,100,100,100,100,100,100,100,100,100,99.9598,100,100,98.16583,99.60178,100,100,100,100,100,100,100,100,99.99203,100,99.04806,98.84421,100,100,100,100,100,100,99.95071,100,100,100,100,100,100,100,100,100,100,96.3293,100,99.99779,100,97.09231,100,100,100
k__Bacteria|p__Bacteroidetes,51.85313,27.19472,84.47293,65.40195,42.93719,80.98654,60.75046,58.43953,44.28678,37.30746,36.42477,3.96376,8.05894,46.13656,61.62655,73.6849,41.39674,26.80867,2.34719,0,0,2.04471,0,49.06461,34.56291,0.11776,43.50387,37.37665,0,62.1345,40.88022,38.26554,5.99432,44.16215,17.81887,48.8833,0.01597,21.75786,33.21543,66.94509,54.40229,47.53888,3.14863,37.43847,18.55373,45.40485,57.11498,46.08012,41.43299,43.4077,33.00376,0,6.36766,73.8466,33.76104,36.30289,44.29077,31.52205,48.91415,57.96943,33.18692,0.55896,8.9966,56.20508,0,71.69249,59.87922,45.63511,33.41541,64.99966,91.66483,34.49556,0.25298,55.96792,77.09021,47.42322,51.12106,37.25318,40.26724,51.7575,39.52334,0.10928,7.94475,24.7438,0,67.33146,58.37909,94.70523,54.71539,1.09097,55.82151,42.11126,49.41893,60.63315,42.32952,65.98578,53.92934,59.472,58.33147,28.91149,32.86752,55.61473,79.22243,62.42992,72.26294,41.30456,21.07081,64.33104,36.59139,61.06652,42.76637,59.36508,54.61297,55.44442,37.17819,56.20983,39.07027,41.36459,33.28185,29.75712,67.4962,24.34008,60.3352,31.87505,40.0378,0,40.23973,34.25327,24.17651,18.34058,4.79697,36.59699,67.05889,37.79117,10.05447,0.07884,4.59076,79.65278,37.15679,37.08291,5.13267,32.30538,22.14865,0,37.28057,0,44.5467,61.95249,51.79979,88.69007,41.92971,41.74852,8.56519,41.85743,17.64049,58.56615,44.91183,10.40381,28.3153,76.43001,30.04375,54.67736,14.27429,73.30571,95.90703,61.62958,69.25198,43.95741,30.05965,71.27899,33.63964,16.74769,12.33007,10.86866,29.9312,87.30166,29.64909,17.21243,53.9899,0,20.87171,75.49789,52.90078,64.30826,53.77781,29.40021,13.75717,23.71849,15.46174,43.99694,55.88291,28.17181,100,11.85776,0,0,40.12887,21.82168,19.3419,10.72839,18.22384,17.6159,26.40686,90.86157,64.96392,44.31179,34.84269,23.72466
k__Bacteria|p__Firmicutes,45.12908,35.26681,15.05836,32.86361,32.98342,18.12037,39.20913,41.56047,55.45385,59.21398,39.23613,63.13785,58.43464,30.22332,34.22547,25.13313,57.44133,72.55366,62.8962,73.5635,88.76724,97.31538,86.74503,40.06966,57.0178,88.24752,43.99044,53.94032,99.31944,36.18006,41.32882,40.8851,83.35392,52.14028,78.36594,19.39247,85.81524,73.82976,61.3809,32.07256,43.0247,31.85711,91.74291,57.59678,77.24272,52.68659,37.07683,39.52112,58.05998,47.9407,63.33256,96.51036,76.74888,15.37277,65.12894,45.63522,43.58125,65.0582,47.96039,34.48685,60.2056,93.70355,89.46159,17.96006,94.69216,28.26899,32.43594,53.41568,36.11124,33.22638,7.94371,44.88374,59.2663,28.97107,20.03746,52.07461,40.9211,52.68008,55.8856,39.51742,56.23359,49.18989,88.60065,23.25939,99.56275,29.41468,38.85902,5.25871,39.24987,98.22882,40.51473,22.45262,47.96855,25.24394,33.15944,33.24081,24.28961,26.90405,36.69349,66.77843,64.88487,36.77584,15.3327,33.00381,24.6053,55.16624,76.28175,32.81307,59.22965,37.98633,51.44499,39.73951,42.06833,29.28389,58.56566,40.96815,57.43549,50.14334,61.75618,56.50516,31.17165,72.29736,39.4947,35.80304,57.14652,99.80508,39.96221,53.31118,70.41198,63.98922,88.336,53.70466,31.31299,57.81358,68.50773,83.82582,45.70041,19.98762,53.97101,55.2291,92.63034,59.22483,73.37074,97.77163,44.0649,61.08178,46.102,34.2559,47.01219,11.30993,52.64002,51.70156,84.48335,56.92535,51.17573,38.12793,54.31465,37.39763,26.99908,23.53718,42.08535,35.77222,74.86214,25.34862,4.09297,38.37042,30.58697,54.41837,56.47962,14.96303,64.80724,76.15648,75.44872,77.60041,68.71306,11.89421,19.98594,34.64353,41.99324,15.78002,72.54655,22.92199,44.36024,17.00781,40.75796,67.55514,75.71301,68.65687,69.79716,45.98749,4.67238,33.09265,0,78.51372,98.43689,99.8579,50.3209,78.13118,79.10919,84.99412,73.74462,80.76748,68.17459,9.13843,31.60315,54.62773,60.79679,67.74219
k__Bacteria|p__Fusobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03838,0.36346,0,0,0,0.24861,0,0,0,0.73147,4.37646,0,0,0,3.55083,0,0,15.96511,0,3.41062,0,0,0,0,0,0.47223,0,1.55017,0,0,0,1.85272,0,0.00444,0.02052,0,0,0,0,0,0,0,13.99465,9.55601,0,0,3.31379,0,0,0,9.74893,0,0,0,0,0,1.50839,0,0.08228,0,0,0,0,0,0,0.17075,0,0,0.00434,0,0,0,0,1.66507,0,0.021,0,1.37597,4.7739,0,2.90586,0,0,0,2.42885,2.38049,0,0,0,2.5265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5572,0,0,0,0,0,0.00704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11679,0,0.09207,3.37998,0.03249,0,0,0,0,0,0,0,0,0.90038,0,0,0,0,0.0113,0,0,0,0,0,0,0,0,0,0.67291,0.64151,0,0,5.64513,0,0,0.18977,0,0,0.02126,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria,1.02839,36.13852,0,0,2.86493,0.54773,0,0,0,1.17989,12.72381,4.03452,21.37035,10.00024,1.56632,1.0254,0.72239,0,9.50689,26.28942,10.6473,0.58697,10.39502,4.09576,3.41564,10.54508,2.66278,2.65217,0,0,1.51034,0.78257,3.85651,1.59342,2.71463,22.83252,0.45102,1.42228,2.66936,0.00623,0,6.48299,3.40034,3.11651,0.99693,0.38204,4.83055,6.40087,0.24819,2.44122,0.38466,0.36212,0.58129,2.34206,0.6105,1.65705,0.04947,1.48458,1.75354,3.99473,0.09131,1.35744,0.42071,14.4674,5.24497,0,0.53429,0.08215,25.66993,0,0,17.93986,28.1227,0.31741,1.92557,0.45118,7.16731,0.67285,0.4264,2.94326,0.66994,5.08028,0.05974,0.17922,0.15043,0.07405,0.10969,0,5.10156,0.06344,1.56656,13.13358,0.13619,0.49438,3.69904,0.76461,17.95401,10.65691,2.34918,1.98782,0.1214,6.37564,1.89872,1.02027,2.11987,1.69029,0.45776,1.60847,1.35813,0.74502,1.82265,0.85349,3.15655,13.46916,0.94769,1.06995,1.05049,7.60361,4.48752,1.75003,0.85778,0.41802,0.1151,0,0.12569,0.06312,19.79375,0.72342,0.42677,0.51303,3.37531,0,0.68406,1.34754,0.40191,6.45417,0,0,6.81843,0,0.32766,3.08222,0.78733,1.46081,0.00512,0,5.72761,0,0,0,0.67091,2.01196,0.0829,1.10718,0.05408,3.27284,0.63126,45.32669,1.50596,0,25.68738,6.16066,0.73935,1.34567,0,0,0.12084,0.88689,0.11473,0.63464,0.51056,2.01108,2.45886,1.18096,0.25975,0.67521,7.20159,14.3025,3.0596,72.99611,0,0,1.57202,0,0,0.4979,9.84794,1.43894,0.38574,0,6.89553,0,0,6.04408,0,0,3.00037,0,0.39615,0.01303,1.26608,0,2.96048,0,0.50082,0.03942,0,2.66144
k__Bacteria|p__Actinobacteria,1.75034,1.39995,0.46871,1.73443,0.59213,0.24441,0,0,0.25937,2.29816,11.61528,0.25927,0.94769,1.59536,2.2182,0.15657,0.43954,0.63766,23.03794,0,0.29191,0.02296,2.12847,2.38104,1.10036,1.08964,9.65641,2.48002,0.68056,0.36647,0.31551,1.59673,3.32636,1.18038,0.25083,0.00476,13.71777,2.9901,1.44804,0.06469,1.02284,0.48685,1.70812,1.61953,1.3539,1.51046,0.97319,1.03028,0.25884,4.61256,2.16646,2.83243,16.30217,0.00594,0.49952,1.13572,2.49461,1.93517,1.37192,0.23519,5.92667,0.28053,1.12111,1.61853,0.05976,0.02606,2.22654,0.86705,1.00738,0.26556,0.39145,2.59857,12.35802,0.39251,0.51032,0.05098,0.7523,8.0663,3.25002,5.76914,3.57314,2.02765,2.74848,1.99683,0.23317,0.8391,0.98713,0.03607,0.91219,0.31947,0.72123,0.76519,2.47633,5.75289,20.812,0.00879,0.4277,0.53819,0.07163,0,0.76894,1.23379,0.76671,3.54599,0.60497,1.78544,1.56244,1.24742,2.16473,0.20213,0.19377,0.04192,0.09961,0.33512,0.94727,1.15355,1.52894,0.36132,0.13156,1.1735,0.47436,0.30991,0,0.67904,2.68998,0.1318,0.00431,4.79855,4.91233,4.95029,3.11328,1.13458,0.59038,2.41936,20.67067,9.08398,1.77152,0.35959,1.23039,7.688,1.24496,2.84139,3.69328,0.76756,2.44936,0.06066,0.57158,3.79161,0.65726,0,2.03707,0.41208,6.53912,0.11005,1.89157,0,0.14226,6.87187,1.2458,0.03281,2.09145,0.00978,5.70747,0,0,0,0,0.73734,12.60665,0,0.63582,4.18438,1.17019,2.1343,1.09598,0.12892,19.30042,1.70014,0.95726,1.14077,6.09213,0.62819,0.01117,2.9641,5.46423,2.54675,0.00897,5.513,14.35536,9.7062,0.41159,0.46193,0,2.83993,1.29447,0.1421,3.31505,0.04009,1.15276,1.41791,2.62573,1.48798,1.68845,0,0.02442,1.02107,0.6452,5.8717
k__Bacteria|p__Verrucomicrobia,0,0,0,0,20.62233,0.10095,0,0,0,0,0,28.6046,6.40553,0,0,0,0,0,0,0,0.03948,0,0,0.01247,0.92589,0,0.04224,0,0,0,0,18.47006,0,0,0.84973,8.46817,0,0,0.81403,0,0,13.63416,0,0,0,0,0,6.93927,0,1.49288,1.11257,0.29509,0,7.91236,0,1.02511,0,0,0,0,0.49032,3.97387,0,0,0,0,4.92401,0,3.64314,0,0,0,0,14.35109,0.42738,0,0,1.32678,0,0,0,43.54391,0,49.74279,0,1.20282,0,0,0,0.13301,0,16.39603,0,4.96978,0,0,3.39935,0,0,2.32226,1.35727,0,0.14838,0,0,0,0.00441,0,0.36059,0,1.60938,0,0.06254,0.38491,0.00361,0.29853,0.43003,0.52714,0.34289,0.0405,0,0.79955,0,31.64286,0,0,0,6.91358,0.07166,2.02579,0,0,0.35368,0.03545,0.36522,0,47.90953,0,0.82339,0,0,2.43248,0,0,16.15799,0,3.05212,0,0.53076,0,2.69695,4.12588,0,0,22.43205,0,0,0,41.81707,0,0,0,4.38425,0,0,0,0,0,0.73935,11.28918,0,0,0,8.21568,0,0,23.85165,32.14139,0,10.07233,0.48962,0,0,15.71983,0,0,0,0.03119,0,0.26008,26.49246,38.2736,0,0,0.26864,0,3.21355,0,0,2.84655,0,0.12864,0.76741,0,0,0,3.71532,0
k__Bacteria|p__Candidatus_Melainabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10456,0,0.40693,0,0,0,0.1229,0,1.86491,0,0,1.08249,0.1545,0.02695,0,0,0,2.71936,0,0.64352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55474,0,0,0,0,0,0,0.02982,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,51.85313,27.19472,84.47293,65.40195,42.93719,80.98654,60.75046,58.43953,44.28678,37.30746,36.42477,3.96376,8.05894,46.13656,61.62655,73.6849,41.39674,26.80867,2.34719,0,0,2.04471,0,49.06461,34.47716,0.11776,43.50387,37.37665,0,62.1345,40.88022,38.26554,5.99432,43.93445,17.81887,48.8833,0.01597,21.75786,33.21543,66.94509,54.40229,47.53888,3.14863,37.43847,18.55373,45.40485,57.11498,46.08012,41.43299,43.4077,33.00376,0,6.36766,73.8466,33.76104,36.30289,44.29077,31.52205,48.91415,57.96764,33.18692,0.55896,8.9966,56.20508,0,71.69249,59.87922,45.63511,33.41541,64.99966,91.66483,34.49556,0.25298,55.96792,77.09021,47.42322,51.12106,37.25318,40.26724,51.7575,39.52334,0.10928,7.94475,24.7438,0,67.33146,58.37909,94.70523,54.71539,1.09097,55.82151,42.11126,49.41893,60.63315,42.32952,65.98578,53.92934,59.472,58.33147,28.91149,32.86752,55.61473,79.22243,62.42992,72.26294,41.30456,20.84822,64.33104,36.59139,61.06652,42.76637,59.36508,54.61297,55.44442,37.17819,56.20983,39.07027,41.36459,33.28185,29.75712,67.4962,24.34008,60.3352,31.87505,40.0378,0,40.23973,34.25327,24.17651,18.34058,4.79697,36.2907,67.05889,37.79117,10.05447,0.07884,4.59076,79.65278,37.15679,37.08291,5.13267,32.30538,22.14865,0,37.28057,0,44.5467,61.95249,51.79979,88.69007,41.92971,41.74852,8.56519,41.85743,17.64049,58.56615,44.91183,10.40381,28.3153,76.43001,30.04375,54.67736,14.27429,73.30571,95.90703,61.62958,69.25198,43.95741,30.05965,71.27899,33.63964,16.74769,12.33007,10.86866,29.9312,87.30166,29.64909,17.21243,53.9899,0,20.87171,75.49789,52.90078,64.30826,53.77781,29.40021,13.75717,23.71849,15.46174,43.99694,55.88291,28.17181,100,11.85776,0,0,40.12887,21.82168,19.3419,10.72839,18.22384,17.6159,26.40686,90.86157,64.96392,44.31179,34.84269,23.72466
k__Bacteria|p__Firmicutes|c__Clostridia,35.87517,32.98382,5.21808,20.41556,25.9758,0.07107,1.40076,36.03546,42.56542,49.31012,34.90956,33.56474,48.56696,27.32613,28.7339,3.75886,17.57954,40.13144,8.20576,46.30538,0,17.45785,60.76231,7.72905,52.03447,78.69168,11.81045,34.78112,0.42387,3.03401,8.84487,38.85917,62.24188,45.03418,30.81024,10.01045,0.38653,56.04952,47.88819,0.06534,15.75218,30.34582,59.99228,23.99696,25.83582,35.25126,23.61027,34.72201,2.79125,34.9416,50.86261,28.66423,56.73961,9.28359,53.29246,34.10087,40.73067,39.18166,40.73661,22.38468,44.93884,79.66794,21.76492,15.44504,19.80464,13.01938,27.95052,9.86539,30.05732,23.78928,5.27478,38.63402,35.77656,28.50312,9.8007,27.04864,32.93263,44.55213,44.82796,32.43889,41.55112,21.14072,11.60958,17.06944,0.19767,23.18304,19.05783,1.66487,35.72784,1.67867,25.95798,17.43129,35.35872,10.1082,24.57221,26.24827,17.9342,19.80441,4.8677,26.8857,38.49039,29.82629,13.11495,31.75224,22.62647,51.6497,70.89556,30.0282,52.74627,34.25656,47.84563,38.10111,40.73761,27.83616,53.49684,39.74914,55.5922,48.09706,61.02794,42.29339,29.87224,65.79859,0.02446,31.86568,28.53188,0,6.88003,49.00894,64.39208,25.57638,3.82472,49.52145,19.53339,48.78887,47.25073,18.6995,22.24599,19.10954,32.24489,39.35994,32.60711,47.17624,67.45268,48.79253,37.59189,0,43.30648,2.09107,12.56197,0,48.09477,44.65872,62.37264,50.66949,41.24476,22.64449,1.71672,10.93306,15.85847,17.64344,29.60915,3.68261,68.09265,9.32631,0,0,1.71649,29.85246,33.3835,1.13181,59.34967,69.11243,32.57545,62.51574,64.25632,9.87897,11.2185,19.68026,35.16729,1.90601,60.01803,18.92119,11.67531,15.08255,18.09345,59.0737,8.99214,39.10648,65.1519,41.92905,2.09281,18.15616,0,59.7846,49.67867,55.19143,31.21121,64.04863,71.83417,75.42648,68.43639,67.76676,51.7239,0,19.52593,28.83729,51.75439,47.06077
