Community	Species	
Both	s__Bacteroides_caccae	
Both	s__Eisenbergiella_tayi	
Both	s__Erysipelatoclostridium_ramosum	
Both	s__Bacteroides_uniformis	
Both	s__Bacteroides_fragilis	
Both	s__Bacteroides_ovatus	
Both	s__Bifidobacterium_longum	
Both	s__Blautia_coccoides	
Both	s__Clostridium_perfringens	
Both	s__Enterocloster_lavalensis	
Both	s__Eggerthella_lenta	
Both	s__Escherichia_coli	
Both	s__Ruminococcus_gauvreauii	"BUT, I accidentally left it out of table S2 when I remade it. Ugh"
Both	s__Alistipes_putredinis	
DefCom2	s__Limosilactobacillus_fermentum	
Both	s__Anaerofustis_stercorihominis	"This means that I'll need to remake this plot, unfortunately."
DefCom2	s__Streptococcus_anginosus	
DefCom2	s__Klebsiella_pneumoniae	
DefCom2	s__Lacticaseibacillus_paracasei	
Both	s__Phocaeicola_vulgatus	
DefCom2	s__Hungatella_effluvii	
DefCom2	s__Sellimonas_intestinalis	
DefCom2	s__Emergencia_timonensis	
DefCom2	s__Anaerotruncus_colihominis	
DefCom2	s__Streptococcus_caecimuris	
DefCom2	s__Bifidobacterium_pseudocatenulatum	
DefCom2	s__Streptococcus_mutans	
DefCom2	s__Sutterella_wadsworthensis	
DefCom2	s__Ruminococcus_gnavus	
DefCom2	s__Bacteroides_thetaiotaomicron	
DefCom2	s__Parabacteroides_distasonis	
DefCom2	s__Desulfovibrio_desulfuricans	
DefCom2	s__Enterocloster_clostridioformis	
Both	s__Clostridium_symbiosum	
DefCom2	s__Blautia_obeum	
DefCom2	s__Faecalimonas_umbilicata	
Both	s__Eubacterium_callanderi	
DefCom2	s__Barnesiella_intestinihominis	
Both	s__Clostridium_innocuum	
DefCom2	s__Enterococcus_faecalis	
DefCom2	s__Blautia_hansenii	
DefCom2	s__Enterococcus_faecium	
Both	s__Bacteroides_xylanisolvens	
DefCom1	s__Clostridium_butyricum	
DefCom1	s__Collinsella_aerofaciens	
Both	s__Akkermansia_muciniphila	
Both	s__Ruthenibacterium_lactatiformans	
Both	s__Flavonifractor_plautii	
DefCom1	s__Enterocloster_aldenensis	
