feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus_faecium	ceph_30d	1	2.72288352666538	0.615255652298728	149	56	1.86257404953876e-05	0.00191845127102493
Clostridioides_difficile	ceph_30d	1	1.67702497722795	0.409906538137546	149	73	7.93534641549147e-05	0.00408670340397811
Blautia_wexlerae	ceph_30d	1	-1.73800770325544	0.458494949214931	149	52	0.00021867253911066	0.00750775717613264
Ruminococcus_gnavus	ceph_30d	1	-1.79713260423057	0.484881928547181	149	73	0.000361499710713779	0.0093086175508798
Anaerobutyricum_hallii	ceph_30d	1	-0.796323943393867	0.269316210297465	149	23	0.00362232604585581	0.0746199165446297
Anaerostipes_hadrus	ceph_30d	1	-0.84291360165187	0.293535152934889	149	22	0.00468821602343677	0.0804810417356645
Clostridia_unclassified_SGB4121	ceph_30d	1	-0.403049071081109	0.159134925752831	149	28	0.0124225572579065	0.142169266396041
Dialister_invisus	ceph_30d	1	-0.481708322562548	0.18883796820485	149	18	0.0117667396842106	0.142169266396041
Escherichia_coli	ceph_30d	1	-1.28358076298267	0.491138786821943	149	61	0.00989470855858499	0.142169266396041
Dorea_longicatena	ceph_30d	1	-0.599949958311633	0.260180339049111	149	18	0.0229571403941392	0.214962314599667
Eubacterium_rectale	ceph_30d	1	-0.6077859985655	0.263009687695101	149	17	0.0222965450188947	0.214962314599667
