Sample	tcdB_subtype_diffbase	tcdB_subtype_grouped
CNTM_S45	"	B1.3"	B1
CNTM_S71	"	B1.2"	B1
CNTM_S62	"	B1.3"	B1
CNTM_S11	"	B1.5"	B1
CNTM_S65	"	B1.2"	B1
CNTM_S44	"	B1.2"	B1
CNTM_S86	"	B1.3"	B1
CNTM_S9	"	B1.2"	B1
CNTM_S6	"	B1.4"	B1
CNTM_S32	"	B1.4"	B1
CNTM_S49	"	B1.4"	B1
CNTM_S40	"	B1.4"	B1
CNTM_S1	"	B1.2"	B1
CNTM_S55	"	B1.3"	B1
CNTM_S21	"	B1.4"	B1
CNTM_S29	"	B1.2"	B1
CNTM_S30	"	B1.2"	B1
CNTM_S28	"	B1.2"	B1
CNTM_S2	"	B1.9"	B1
CNTM_S61	"	B1.2"	B1
14275002567	"	B1.2"	B1
14230002867	"	B1.8"	B1
14306003432	"	B1.65"	B1
16222006583	"	B1.4"	B1
14364002390	"	B1.2"	B1
14347003386	"	B1.3"	B1
14282006614	"	B1.8"	B1
15293011814	"	B1.10"	B1
14231003578	"	B1.4"	B1
14267004596	"	B1.3"	B1
14325007894	"	B1.1"	B1
16137013172	"	B1.2"	B1
14336009506	"	B1.2"	B1
15145002518	"	B1.2"	B1
14270006297	"	B1.3"	B1
16226000979	"	B1.3"	B1
15022009124	"	B1.4"	B1
16074002883	"	B1.2"	B1
15314012103	"	B1.2"	B1
15351007633	"	B1.2"	B1
14333003042	"	B1.3"	B1
15344004809	"	B1.2"	B1
15150002251	"	B1.4"	B1
14297006897	"	B1.8"	B1
15007005681	"	B1.2"	B1
15289004143	"	B1.4"	B1
15318004439	"	B1.2"	B1
16025011001	"	B1.4"	B1
15344011012	"	B1.2"	B1
15347000571	"	B1.5"	B1
16035004712	"	B1.3"	B1
15272010763	"	B1.2"	B1
14222002214	"	B1.4"	B1
15053004744	"	B1.2"	B1
16154004217	"	B1.1"	B1
14266010630	"	B1.2"	B1
16234005390	"	B1.4"	B1
15283000569	"	B1.2"	B1
14280000918	"	B1.4"	B1
15022002052	"	B2.1"	B2
16037008119	"	B2.1"	B2
15249004285	"	B2.10"	B2
15338008398	"	B2.1"	B2
15003000243	"	B2.1"	B2
15361005421	"	B2.1"	B2
14222000860	"	B2.1"	B2
14281010506	"	B2.1"	B2
16112004607	"	B2.1"	B2
15074001085	"	B2.1"	B2
16033004325	"	B3.1"	B3
16144010073	"	B5.1"	B5
16067010441	B1.3	B1
16245010913	B1.2	B1
14294008232	B1.3	B1
CNTM_S42	B1.2	B1
CNTM_S3	B1.2	B1
CNTM_S43	B1.2	B1
CNTM_S26	B1.2	B1
CNTM_S25	B1.2	B1
CNTM_S7	B1.4	B1
CNTM_S60	B1.4	B1
CNTM_S22	B1.2	B1
CNTM_S38	B1.2	B1
CNTM_S59	B1.2	B1
CNTM_S83	B1.2	B1
CNTM_S34	B1.4	B1
CNTM_S13	B1.4	B1
CNTM_S74	B1.2	B1
CNTM_S36	B1.2	B1
16066007541	B1.2	B1
14302008148	B1.3	B1
15357009163	B1.2	B1
15183011312	B1.2	B1
16078009373	B1.2	B1
15292011308	B1.2	B1
14305002017	B1.3	B1
15338009826	B1.10	B1
15327002274	B1.7	B1
15013006888	B1.3	B1
15075007377	B1.2	B1
15315001587	B1.2	B1
16227004893	B1.1	B1
16083004463	B1.6	B1
14243004165	B1.2	B1
14295003788	B1.2	B1
16190004049	B1.2	B1
16182011162	B1.2	B1
15033005121	B1.2	B1
15361005627	B1.3	B1
16093001566	B1.1	B1
15215011523	B1.4	B1
15172000581	B1.2	B1
15303009944	B1.2	B1
15042007560	B1.2	B1
14224007057	B1.2	B1
14324007652	B1.4	B1
15004000359	B1.2	B1
14265011111	B1.4	B1
16164004776	B1.4	B1
16090010825	B1.8	B1
15183009449	B1.3	B1
14281004042	B1.7	B1
CNTM_S37	B2.2	B2
14297007222	B2.1	B2
14324011089	B2.1	B2
14261008867	B2.1	B2
14277004053	B2.16	B2
14277001579	B2.16	B2
14311005496	B2.1	B2
15202001672	B2.1	B2
15316011366	B2.1	B2
14294002223	B2.1	B2
16131011416	B2.1	B2
14324005059	B2.1	B2
14280007449	B3.1	B3
15047003896	B3.1	B3
16078009942	B3.1	B3
CNTM_S47	B5.1	B5
CNTM_S63	NA	NA
CNTM_S58	NA	NA
CNTM_S16	NA	NA
CNTM_S78	NA	NA
CNTM_S68	NA	NA
CNTM_S24	NA	NA
CNTM_S66	NA	NA
CNTM_S39	NA	NA
15334011102	NA	NA
