SampleName	SRA_ID	MouseID	Day	Cage	Sex	CdiffStrain	Clade	MouseIDExp	CageExp	Seq	MicrobiomeType	Experiment
GNCD_110	GNCD_110	13	28	2E	M	SF127	Clade 1	2E_13_DefCom1	2E-DefCom1	2022943	DefCom1	A
GNCD_119	GNCD_119	22	28	3B	M	SF151	Clade 1	3B_22_DefCom1	3B-DefCom1	2078429	DefCom1	A
GNCD_107	GNCD_107	10	28	2D	F	SF127	Clade 1	2D_10_DefCom1	2D-DefCom1	2080491	DefCom1	A
GNCD_115	GNCD_115	18	28	3A	F	SF151	Clade 1	3A_18_DefCom1	3A-DefCom1	2162153	DefCom1	A
DC1DC2Bo_D28_M17	DC1DC2Bo_D28-M17	17	28	1F	F	SF151	Clade 1	1F_17_DefCom2		2197404	DefCom2	C
GNCD_108	GNCD_108	11	28	2D	F	SF127	Clade 1	2D_11_DefCom1	2D-DefCom1	2251269	DefCom1	A
DefCom2_155	DefCom2_155	SE-3C-M-LP	28	3C	M	UK1_SF166	Clade 2	SE-3C-M-LP_DefCom2	3C-DefCom2	2336315	DefCom2	A
GNCD_120	GNCD_120	23	28	3B	M	SF151	Clade 1	3B_23_DefCom1	3B-DefCom1	2357552	DefCom1	A
GNCD_123	GNCD_123	26	28	3D	F	UK1_SF166	Clade 2	3D_26_DefCom1	3D-DefCom1	2425571	DefCom1	A
GNCD_129	GNCD_129	32	28	4F	M	UK1_SF166	Clade 2	4F_32_DefCom1	4F-DefCom1	2600013	DefCom1	A
GNCD_111	GNCD_111	14	28	2E	M	SF127	Clade 1	2E_14_DefCom1	2E-DefCom1	2684446	DefCom1	A
GNCD_113	GNCD_113	16	28	2F	M	SF127	Clade 1	2F_16_DefCom1	2F-DefCom1	2723337	DefCom1	A
GNCD_117	GNCD_117	20	28	3A	F	SF151	Clade 1	3A_20_DefCom1	3A-DefCom1	2743473	DefCom1	A
GNCD_121	GNCD_121	24	28	3C	M	SF151	Clade 1	3C_24_DefCom1	3C-DefCom1	2785752	DefCom1	A
GNCD_98	GNCD_98	1	28	2A	F	SF107	Clade 1	2A_1_DefCom1	2A-DefCom1	2786431	DefCom1	A
GNCD_99	GNCD_99	2	28	2A	F	SF107	Clade 1	2A_2_DefCom1	2A-DefCom1	2914189	DefCom1	A
GNCD_106	GNCD_106	9	28	2D	F	SF127	Clade 1	2D_9_DefCom1	2D-DefCom1	2949326	DefCom1	A
D28_24	D28-24	24	28	2D	F	SF151	Clade 1	2D_24_DefCom2		3000000	DefCom2	B
GNCD_101	GNCD_101	4	28	2A	F	SF107	Clade 1	2A_4_DefCom1	2A-DefCom1	3005775	DefCom1	A
DC1DC2Bo_D28_M2	DC1DC2Bo_D28-M2	2	28	1A	M	SF151	Clade 1	1A_2_DefCom1		3051110	DefCom1	C
GNCD_127	GNCD_127	30	28	3F	M	UK1_SF166	Clade 2	3F_30_DefCom1	3F-DefCom1	3055009	DefCom1	A
GNCD_103	GNCD_103	6	28	2B	M	SF107	Clade 1	2B_6_DefCom1	2B-DefCom1	3057010	DefCom1	A
GNCD_100	GNCD_100	3	28	2A	F	SF107	Clade 1	2A_3_DefCom1	2A-DefCom1	3084497	DefCom1	A
DefCom2_142	DefCom2_142	SC-2F-F-RP	28	2F	F	SF151	Clade 1	SC-2F-F-RP_DefCom2	2F-DefCom2	3293328	DefCom2	A
DefCom2_136	DefCom2_136	SB-2D-F-DR	28	2D	F	SF127	Clade 1	SB-2D-F-DR_DefCom2	2D-DefCom2	3371169	DefCom2	A
GNCD_105	GNCD_105	8	28	2C	M	SF107	Clade 1	2C_8_DefCom1	2C-DefCom1	3398331	DefCom1	A
GNCD_102	GNCD_102	5	28	2B	M	SF107	Clade 1	2B_5_DefCom1	2B-DefCom1	3399225	DefCom1	A
DefCom2_154	DefCom2_154	SE-3C-M-RP	28	3C	M	UK1_SF166	Clade 2	SE-3C-M-RP_DefCom2	3C-DefCom2	3415588	DefCom2	A
GNCD_112	GNCD_112	15	28	2E	M	SF127	Clade 1	2E_15_DefCom1	2E-DefCom1	3455597	DefCom1	A
