"","GNCD_110","GNCD_119","GNCD_107","GNCD_115","DC1DC2Bo_D28_M17","GNCD_108","DefCom2_155","GNCD_120","GNCD_123","GNCD_129","GNCD_111","GNCD_113","GNCD_117","GNCD_121","GNCD_98","GNCD_99","GNCD_106","D28_24","GNCD_101","DC1DC2Bo_D28_M2","GNCD_127","GNCD_103","GNCD_100","DefCom2_142","DefCom2_136","GNCD_105","GNCD_102","DefCom2_154","GNCD_112","DefCom2_130","DefCom2_156","DefCom2_122","DefCom2_132","DC1DC2Bo_D28_M18","DefCom2_139","DefCom2_123","DC1DC2Bo_D28_M3","DefCom2_127","DC1DC2Bo_M28_M13","DefCom2_121","DefCom2_134","DefCom2_144","GNCD_122","DefCom2_126","GNCD_114","DefCom2_162","DefCom2_128","DefCom2_140","GNCD_118","DefCom2_138","DefCom2_135","DefCom2_159","GNCD_128","GNCD_109","DefCom2_137","DC1DC2Bo_D28_M16","DefCom2_133","DefCom2_125","DefCom2_158","DefCom2_143","DC1DC2Bo_D28_M14","DefCom2_153","DC1DC2Bo_D28_M5","DC1DC2Bo_D28_M1","DefCom2_141","DefCom2_157","DC1DC2Bo_D28_M4","DefCom2_124","DC1DC2Bo_D28_M6","DefCom2_131","GNCD_126","D28_06","DefCom2_161","GNCD_124","D28_20","D28_08","D28_09","D28_05","D28_21","D28_15","D28_04","D28_14","D28_12","D28_23","D28_19","D28_02","D28_16","D28_22","D28_07","D28_10","D28_03","GNCD_116","D28_01","D28_17","D28_13","D28_18","D28_11","GNCD_125"
"k__Bacteria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"k__Bacteria|p__Bacteroidetes",52.52668,55.25334,52.79878,51.69595,60.76737,54.35429,54.20158,53.77981,56.39394,54.51307,56.2272,54.79267,52.81543,46.38319,57.03143,47.9921,51.97202,55.50096,35.06609,58.90796,46.55955,50.95448,48.67198,48.39648,55.91725,49.47242,53.07014,51.04864,52.93559,53.92938,53.47074,52.9789,54.09918,55.09392,56.86925,52.53195,56.49901,50.12392,54.68078,54.16766,51.79524,51.64172,53.22745,52.53367,55.07823,41.92861,52.98081,54.57268,52.77669,55.13811,53.74365,53.03348,52.45699,49.78934,52.26067,55.9466,52.81436,53.65626,52.98949,52.88079,55.22827,52.92219,57.43475,56.20475,56.49457,52.96941,54.23463,56.20568,56.34731,54.2671,8.38669,48.47823,50.35694,54.09701,57.84743,52.58708,51.74638,51.74808,57.36762,54.41928,52.8971,58.11578,51.68547,50.90817,56.26022,51.77591,57.29149,56.06721,56.37958,50.97862,54.83655,52.68942,51.4113,55.03212,55.01643,53.47514,53.01781,53.54678
"k__Bacteria|p__Firmicutes",36.1455,35.55312,42.63052,42.14811,34.20278,36.54808,33.62883,37.12184,36.25705,39.22051,38.67051,40.51313,41.8091,47.57343,33.1719,43.72382,41.8318,36.84318,55.01985,38.49701,46.0626,43.13408,43.54283,39.2552,35.48234,38.36901,41.62254,39.22344,42.67925,34.44141,39.78522,37.54729,39.34682,36.70597,31.89931,38.57526,37.93161,39.33932,36.30595,35.57042,36.76131,39.57222,41.73937,38.62519,40.40643,42.18933,39.17558,37.91681,42.64494,39.30664,38.07352,34.75299,42.29226,44.82798,36.80579,35.12119,33.88414,37.8967,33.44223,38.18312,35.1335,39.92183,38.07517,40.67693,34.65654,34.31143,41.35036,34.98354,39.584,38.65647,53.07879,39.96177,38.32158,38.05593,32.88373,38.30856,40.22072,37.94985,34.08404,35.99497,38.78816,33.86941,37.33662,37.23044,36.95522,40.06603,35.85326,36.15435,36.84249,38.77228,37.87967,39.54001,40.73218,36.58931,34.90935,35.82518,38.421,38.03001
"k__Bacteria|p__Verrucomicrobia",10.53386,8.46212,4.15648,5.2909,4.25439,8.21259,11.03548,8.20476,6.89196,5.62,4.76778,4.06208,4.77755,4.98506,8.4063,6.33541,5.51154,6.75662,8.26953,2.20498,6.19067,5.13424,6.11288,11.76595,7.76659,10.97008,4.68859,9.05185,4.04146,10.64876,5.76733,8.46208,5.56809,7.10167,10.15783,8.07112,4.78368,9.86443,7.58657,9.15506,10.38007,8.0269,4.25204,7.7921,3.98479,14.61258,6.70141,6.60948,3.99631,4.82156,7.28325,11.09704,4.52793,4.61721,9.89444,7.74774,12.42513,7.4439,12.54636,8.22547,8.14771,6.00179,3.92634,2.36078,7.95475,11.48091,3.61671,7.74509,3.42174,6.10144,35.55078,10.19805,10.37495,6.8496,8.12775,7.99253,7.01024,9.29656,7.41735,8.59311,7.4127,6.94658,10.09598,10.57204,5.69155,7.24882,5.788,6.65775,5.80555,9.05597,6.54286,6.60985,6.90266,7.12129,8.8629,9.80627,7.48418,7.58093
"k__Bacteria|p__Actinobacteria",0.33541,0.29626,0.18879,0.42131,0.14835,0.29116,0.15242,0.44938,0.2614,0.34011,0.18685,0.29326,0.21142,0.5254,0.2936,0.524,0.45856,0.20594,1.18534,0.2745,0.9083,0.43599,0.37218,0.20671,0.25436,0.43174,0.35534,0.24862,0.19364,0.17194,0.24987,0.26263,0.20162,0.1848,0.22487,0.34174,0.45437,0.25866,0.29746,0.17822,0.2719,0.21454,0.27655,0.23097,0.26249,1.19269,0.15878,0.21802,0.32467,0.19936,0.18526,0.1543,0.40742,0.30715,0.23191,0.23803,0.24193,0.16619,0.29195,0.22586,0.26635,0.25221,0.34194,0.40701,0.2665,0.25401,0.36174,0.23158,0.32608,0.19635,2.12717,0.85388,0.46758,0.46022,0.32105,0.78145,0.71702,0.62604,0.25592,0.28233,0.53836,0.30916,0.56954,0.31116,0.25379,0.55364,0.20928,0.24872,0.68321,0.75075,0.45842,0.61813,0.65746,0.31953,0.31738,0.29329,0.66912,0.41249
"k__Bacteria|p__Proteobacteria",0.45856,0.43516,0.22543,0.44373,0.62711,0.59388,0.98169,0.44421,0.19565,0.30631,0.14766,0.33886,0.3865,0.53292,1.09677,1.42468,0.22607,0.69329,0.45919,0.11555,0.27888,0.34121,1.30013,0.37566,0.57947,0.75676,0.26339,0.42744,0.15006,0.80851,0.72683,0.74909,0.78429,0.91365,0.84874,0.47993,0.33132,0.41367,1.12925,0.92864,0.79147,0.54462,0.5046,0.81806,0.26807,0.07679,0.98342,0.68301,0.25739,0.53433,0.71432,0.96219,0.3154,0.45832,0.80718,0.94644,0.63445,0.83696,0.72997,0.48476,1.22417,0.90197,0.22179,0.35054,0.62763,0.98424,0.43656,0.8341,0.32088,0.77864,0.85657,0.50808,0.47896,0.53723,0.82004,0.33039,0.30564,0.37947,0.87506,0.71031,0.36368,0.75907,0.31239,0.97818,0.83922,0.35561,0.85796,0.87197,0.28917,0.44238,0.2825,0.54259,0.2964,0.93775,0.89394,0.60013,0.4079,0.42979
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",52.52668,55.25334,52.79878,51.69595,60.76737,54.35429,54.20158,53.77981,56.39394,54.51307,56.2272,54.79267,52.81543,46.38319,57.03143,47.9921,51.97202,55.50096,35.06609,58.90796,46.55955,50.95448,48.67198,48.39648,55.91725,49.47242,53.07014,51.04864,52.93559,53.92938,53.47074,52.9789,54.09918,55.09392,56.86925,52.53195,56.49901,50.12392,54.68078,54.16766,51.79524,51.64172,53.22745,52.53367,55.07823,41.92861,52.98081,54.57268,52.77669,55.13811,53.74365,53.03348,52.45699,49.78934,52.26067,55.9466,52.81436,53.65626,52.98949,52.88079,55.22827,52.92219,57.43475,56.20475,56.49457,52.96941,54.23463,56.20568,56.34731,54.2671,8.38669,48.47823,50.35694,54.09701,57.84743,52.58708,51.74638,51.74808,57.36762,54.41928,52.8971,58.11578,51.68547,50.90817,56.26022,51.77591,57.29149,56.06721,56.37958,50.97862,54.83655,52.68942,51.4113,55.03212,55.01643,53.47514,53.01781,53.54678
"k__Bacteria|p__Firmicutes|c__Clostridia",32.25725,31.56985,39.37307,38.13291,29.01998,33.10432,29.32931,32.78096,32.8251,35.75589,34.98452,36.45423,37.8941,44.83166,28.45561,40.66923,38.16819,30.65917,48.88573,32.27905,42.91608,39.48852,40.77131,34.13566,30.12603,35.46313,37.54476,33.98866,39.60463,30.48571,34.99666,33.40635,34.50063,32.64995,27.36532,34.18332,31.71576,35.93404,32.3803,31.90449,32.26821,34.97014,37.91664,34.80745,36.95949,37.31126,35.31043,33.45508,38.12768,34.45767,32.94475,29.64446,37.45711,41.9387,31.29163,31.27315,29.72996,35.30989,29.5661,33.42483,31.22437,35.51956,33.56538,35.78226,30.58631,30.12984,36.87519,31.6744,34.43244,33.87571,47.46613,34.92684,33.79235,33.40314,29.08003,33.20681,35.35852,33.09354,30.09724,29.46588,33.45676,28.46976,33.07313,32.05046,31.49378,34.30491,30.8794,30.73579,32.45518,33.2974,32.86232,35.82593,35.87471,31.59578,29.99412,31.46894,33.86842,34.08808
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",10.53386,8.46212,4.15648,5.2909,4.25439,8.21259,11.03548,8.20476,6.89196,5.62,4.76778,4.06208,4.77755,4.98506,8.4063,6.33541,5.51154,6.75662,8.26953,2.20498,6.19067,5.13424,6.11288,11.76595,7.76659,10.97008,4.68859,9.05185,4.04146,10.64876,5.76733,8.46208,5.56809,7.10167,10.15783,8.07112,4.78368,9.86443,7.58657,9.15506,10.38007,8.0269,4.25204,7.7921,3.98479,14.61258,6.70141,6.60948,3.99631,4.82156,7.28325,11.09704,4.52793,4.61721,9.89444,7.74774,12.42513,7.4439,12.54636,8.22547,8.14771,6.00179,3.92634,2.36078,7.95475,11.48091,3.61671,7.74509,3.42174,6.10144,35.55078,10.19805,10.37495,6.8496,8.12775,7.99253,7.01024,9.29656,7.41735,8.59311,7.4127,6.94658,10.09598,10.57204,5.69155,7.24882,5.788,6.65775,5.80555,9.05597,6.54286,6.60985,6.90266,7.12129,8.8629,9.80627,7.48418,7.58093
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia",3.88825,3.98327,3.25745,4.0152,5.12206,3.44375,4.29952,4.34088,3.43195,3.46462,3.68599,4.0589,3.91499,2.74177,3.32128,2.59857,3.66361,5.84682,6.12193,6.21796,3.14651,3.64556,2.61651,4.94478,5.22157,2.72282,4.07778,5.21518,3.07462,3.94092,4.77227,4.10299,4.83019,3.6154,4.49902,4.34336,6.21585,3.35148,3.88288,3.62995,4.11704,4.31207,3.82272,3.59823,3.44695,4.83009,3.82329,4.44451,4.51726,4.83589,5.0168,4.27286,4.83514,2.88928,5.48315,3.62547,3.60489,2.52101,3.539,4.51342,3.846,4.39329,4.50979,4.89467,3.95507,3.64986,4.47517,3.27935,5.15155,4.76111,5.61266,5.03493,4.46377,4.65279,3.76163,5.10174,4.8622,4.85631,3.94512,6.48333,5.3314,5.36452,4.26348,4.41565,5.45645,5.76112,4.96383,4.96642,4.38731,5.47488,5.01735,3.71408,4.85747,4.96823,4.86828,4.33376,4.55258,3.94193
