ID	SRA_ID	Mouse	Sample Type	DonorID	Species	Timepoint	Sex	Cage	CageAZ	Experiment	IndividualRxn	Reads_230215	SeqFilter	In vivo Analysis	Cdiffstrain	CFU	Toxin	LogCFU
CDFMT_3	 CDFMT_3	1	Mouse stool	Donor 1	Mouse	5	F	18	C18	Expt1	Expt1_Donor 1_1	4279297	Keep	Keep	Donor1strain	18636.36	2.25	4.27
CDFMT_4	 CDFMT_4	2	Mouse stool	Donor 1	Mouse	5	F	18	C18	Expt1	Expt1_Donor 1_2	9991085	Keep	Keep	Donor1strain	8467.74	0.3	3.93
CDFMT_5	 CDFMT_5	4	Mouse stool	Donor 1	Mouse	5	F	18	C18	Expt1	Expt1_Donor 1_4	3670421	Keep	Keep	Donor1strain	7000	0.77	3.85
CDFMT_41	 CDFMT_41	2	Mouse stool	Donor 1	Mouse	21	F	18	C18	Expt1	Expt1_Donor 1_2	4686902	Keep	Keep	Donor1strain	4500	1.31	3.65
CDFMT_43	 CDFMT_43	4	Mouse stool	Donor 1	Mouse	21	F	18	C18	Expt1	Expt1_Donor 1_4	3376560	Keep	Keep	Donor1strain	1333.33	0.67	3.12
220509_CDFMT-58	 DLAP-220509_CDFMT-58	1	Mouse stool	Donor 1	Mouse	4	F	26	C26	Expt2	Expt2_Donor 1_1	3256864	Keep	Keep	Donor1strain	157.89	0.37	2.2
220509_CDFMT-59	 DLAP-220509_CDFMT-59	2	Mouse stool	Donor 1	Mouse	4	F	26	C26	Expt2	Expt2_Donor 1_2	4333834	Keep	Keep	Donor1strain	112.07	0.08	2.05
220509_CDFMT-60	 DLAP-220509_CDFMT-60	3	Mouse stool	Donor 1	Mouse	4	F	26	C26	Expt2	Expt2_Donor 1_3	2170980	Keep	Keep	Donor1strain	8780.49	0.74	3.94
220509_CDFMT-61	 DLAP-220509_CDFMT-61	4	Mouse stool	Donor 1	Mouse	4	F	26	C26	Expt2	Expt2_Donor 1_4	9091520	Keep	Keep	Donor1strain	2532.47	0.46	3.4
220509_CDFMT-84	 DLAP-220509_CDFMT-84	1	Mouse stool	Donor 1	Mouse	7	M	27	C27	Expt2	Expt2_Donor 1_1	3018114	Keep	Keep	Donor1strain			
220509_CDFMT-85	 DLAP-220509_CDFMT-85	2	Mouse stool	Donor 1	Mouse	7	M	27	C27	Expt2	Expt2_Donor 1_2	3439754	Keep	Keep	Donor1strain			
220509_CDFMT-86	 DLAP-220509_CDFMT-86	3	Mouse stool	Donor 1	Mouse	7	F	26	C26	Expt2	Expt2_Donor 1_3	5081704	Keep	Keep	Donor1strain			
Expt2_eng_stool_2	Expt2_eng_stool_2	1	Mouse stool	Donor 1	Mouse	21	M	27	C27	Expt2	Expt2_Donor 1_1	5345889	Keep	Keep	Donor1strain	10750	1.8	4.03
Expt2_eng_stool_3	Expt2_eng_stool_3	2	Mouse stool	Donor 1	Mouse	21	M	27	C27	Expt2	Expt2_Donor 1_2	6358225	Keep	Keep	Donor1strain	4027.78	0.97	3.61
Expt2_eng_stool_4	Expt2_eng_stool_4	3	Mouse stool	Donor 1	Mouse	21	F	26	C26	Expt2	Expt2_Donor 1_3	9927523	Keep	Keep	Donor1strain	8906.25	1.23	3.95
Expt2_eng_stool_1	Expt2_eng_stool_1	4	Mouse stool	Donor 1	Mouse	21	F	26	C26	Expt2	Expt2_Donor 1_4	5900306	Keep	Keep	Donor1strain	8815.79	1.04	3.95
S97	 DLAP-97	1	Mouse stool	Donor 10	Mouse	4	M	1	C1	Expt3	Expt3_Donor 10_1	2751945	Keep	Keep	ST42	22619.05	0.42	4.35
S98	 DLAP-98	2	Mouse stool	Donor 10	Mouse	4	M	1	C1	Expt3	Expt3_Donor 10_2	3086459	Keep	Keep	ST42	6896.55	0.39	3.84
S99	 DLAP-99	3	Mouse stool	Donor 10	Mouse	4	F	2	C2	Expt3	Expt3_Donor 10_3	3299859	Keep	Keep	ST42	38235.29	2.23	4.58
S175	175	1	Mouse stool	Donor 10	Mouse	21	M	1	C1	Expt3	Expt3_Donor 10_1	13837516	Keep	Keep	ST42	1369.86	0.34	3.14
S176	176	2	Mouse stool	Donor 10	Mouse	21	M	1	C1	Expt3	Expt3_Donor 10_2	8732630	Keep	Keep	ST42	689.66	0.67	2.84
S177	177	3	Mouse stool	Donor 10	Mouse	21	F	2	C2	Expt3	Expt3_Donor 10_3	6811966	Keep	Keep	ST42	1915.89	0.3	3.28
S101	 DLAP-101	1	Mouse stool	Donor 13	Mouse	4	M	3	C3	Expt3	Expt3_Donor 13_1	3815565	Keep	Keep	ST42	5636.36	0.57	3.75
S102	 DLAP-102	2	Mouse stool	Donor 13	Mouse	4	M	3	C3	Expt3	Expt3_Donor 13_2	3612164	Keep	Keep	ST42	4485.29	0.51	3.65
S103	 DLAP-103	3	Mouse stool	Donor 13	Mouse	4	F	4	C4	Expt3	Expt3_Donor 13_3	3354858	Keep	Keep	ST42	4718.31	0.53	3.67
S104	 DLAP-104	4	Mouse stool	Donor 13	Mouse	4	F	4	C4	Expt3	Expt3_Donor 13_4	3641065	Keep	Keep	ST42	3695.65	0.75	3.57
S179	179	1	Mouse stool	Donor 13	Mouse	21	M	3	C3	Expt3	Expt3_Donor 13_1	6418757	Keep	Keep	ST42	35365.85	0.98	4.55
S180	180	2	Mouse stool	Donor 13	Mouse	21	M	3	C3	Expt3	Expt3_Donor 13_2	9775139	Keep	Keep	ST42	9219.86	0.28	3.96
S181	181	3	Mouse stool	Donor 13	Mouse	21	F	4	C4	Expt3	Expt3_Donor 13_3	6220903	Keep	Keep	ST42	28750	1.02	4.46
S182	182	4	Mouse stool	Donor 13	Mouse	21	F	4	C4	Expt3	Expt3_Donor 13_4	9493505	Keep	Keep	ST42	9615.38	0.75	3.98
S105	 DLAP-105	1	Mouse stool	Donor 14	Mouse	4	M	5	C5	Expt3	Expt3_Donor 14_1	3162630	Keep	Keep	ST42	20476.19	0.31	4.31
S107	 DLAP-107	4	Mouse stool	Donor 14	Mouse	4	F	6	C6	Expt3	Expt3_Donor 14_4	2892084	Keep	Keep	ST42	12500	0.94	4.1
S183	183	1	Mouse stool	Donor 14	Mouse	21	M	5	C5	Expt3	Expt3_Donor 14_1	9586386	Keep	Keep	ST42	276.92	0.07	2.44
S184	184	2	Mouse stool	Donor 14	Mouse	21	M	5	C5	Expt3	Expt3_Donor 14_2	10775760	Keep	Keep	ST42	684.93	0.27	2.84
S185	185	3	Mouse stool	Donor 14	Mouse	21	F	6	C6	Expt3	Expt3_Donor 14_3	9288248	Keep	Keep	ST42	3000	1.07	3.48
S186	186	4	Mouse stool	Donor 14	Mouse	21	F	6	C6	Expt3	Expt3_Donor 14_4	8479710	Keep	Keep	ST42	2978.72	0.43	3.47
S109	 DLAP-109	2	Mouse stool	Donor 15	Mouse	4	M	7	C7	Expt3	Expt3_Donor 15_2	4152566	Keep	Keep	ST2	965.52	1.13	2.98
S110	 DLAP-110	3	Mouse stool	Donor 15	Mouse	4	F	8	C8	Expt3	Expt3_Donor 15_3	3866700	Keep	Keep	ST2	29000	0.61	4.46
S111	 DLAP-111	4	Mouse stool	Donor 15	Mouse	4	F	8	C8	Expt3	Expt3_Donor 15_4	3997815	Keep	Keep	ST2	11111.11	0.51	4.05
S187	187	1	Mouse stool	Donor 15	Mouse	21	M	7	C7	Expt3	Expt3_Donor 15_1	7356983	Keep	Keep	ST2	7954.55	1.76	3.9
S188	188	2	Mouse stool	Donor 15	Mouse	21	M	7	C7	Expt3	Expt3_Donor 15_2	8920970	Keep	Keep	ST2	588.24	0.2	2.77
S189	189	3	Mouse stool	Donor 15	Mouse	21	F	8	C8	Expt3	Expt3_Donor 15_3	10175328	Keep	Keep	ST2	820.9	0.48	2.91
S190	190	4	Mouse stool	Donor 15	Mouse	21	F	8	C8	Expt3	Expt3_Donor 15_4	5342366	Keep	Keep	ST2	153.06	0.48	2.18
S112	 DLAP-112	3	Mouse stool	Donor 16	Mouse	4	F	9	C9	Expt3	Expt3_Donor 16_3	4676855	Keep	Keep	ST2	3292.68	0.3	3.52
S113	 DLAP-113	4	Mouse stool	Donor 16	Mouse	4	F	9	C9	Expt3	Expt3_Donor 16_4	3767123	Keep	Keep	ST2	9090.91	0.52	3.96
S191	191	1	Mouse stool	Donor 16	Mouse	21	M	10	C10	Expt3	Expt3_Donor 16_1	8041973	Keep	Keep	ST2	112.68	0.22	2.05
S192	192	3	Mouse stool	Donor 16	Mouse	21	F	9	C9	Expt3	Expt3_Donor 16_3	5361997	Keep	Keep	ST2	175.44	0.14	2.24
S193	193	4	Mouse stool	Donor 16	Mouse	21	F	9	C9	Expt3	Expt3_Donor 16_4	7675213	Keep	Keep	ST2	172.41	0.09	2.24
CDFMT_6	 CDFMT_6	1	Mouse stool	Donor 2	Mouse	5	F	19	C19	Expt1	Expt1_Donor 2_1	5931583	Keep	Keep	Donor2strain	1319.44	0.17	3.12
CDFMT_7	 CDFMT_7	2	Mouse stool	Donor 2	Mouse	5	F	19	C19	Expt1	Expt1_Donor 2_2	5153694	Keep	Keep	Donor2strain	148.44	0.24	2.17
CDFMT_8	 CDFMT_8	3	Mouse stool	Donor 2	Mouse	5	F	19	C19	Expt1	Expt1_Donor 2_3	5224343	Keep	Keep	Donor2strain	1959.46	0.55	3.29
CDFMT_9	 CDFMT_9	4	Mouse stool	Donor 2	Mouse	5	F	19	C19	Expt1	Expt1_Donor 2_4	4707648	Keep	Keep	Donor2strain	2857.14	0.32	3.46
CDFMT_44	 CDFMT_44	1	Mouse stool	Donor 2	Mouse	21	F	19	C19	Expt1	Expt1_Donor 2_1	3508375	Keep	Keep	Donor2strain	2125	0.98	3.33
NextSeq1_1-4	 NextSeq1_1-4	2	Mouse stool	Donor 2	Mouse	21	F	19	C19	Expt1	Expt1_Donor 2_2	4392471	Keep	Keep	Donor2strain	390	0.75	2.59
NextSeq1_1-5	 NextSeq1_1-5	3	Mouse stool	Donor 2	Mouse	21	F	19	C19	Expt1	Expt1_Donor 2_3	4844667	Keep	Keep	Donor2strain	573.53	0.87	2.76
NextSeq1_1-6	 NextSeq1_1-6	4	Mouse stool	Donor 2	Mouse	21	F	19	C19	Expt1	Expt1_Donor 2_4	4398722	Keep	Keep	Donor2strain	1282.05	0.66	3.11
220509_CDFMT-62	 DLAP-220509_CDFMT-62	1	Mouse stool	Donor 2	Mouse	4	M	28	C28	Expt2	Expt2_Donor 2_1	6931312	Keep	Keep	Donor2strain	25833.33	0.39	4.41
220509_CDFMT-63	 DLAP-220509_CDFMT-63	2	Mouse stool	Donor 2	Mouse	4	M	28	C28	Expt2	Expt2_Donor 2_2	4408982	Keep	Keep	Donor2strain	85135.14	0.49	4.93
