clade_name,CDFMT_3,CDFMT_4,CDFMT_5,CDFMT_41,CDFMT_43,220509_CDFMT-58,220509_CDFMT-59,220509_CDFMT-60,220509_CDFMT-61,220509_CDFMT-84,220509_CDFMT-85,220509_CDFMT-86,Expt2_eng_stool_2,Expt2_eng_stool_3,Expt2_eng_stool_4,Expt2_eng_stool_1,S97,S98,S99,S175,S176,S177,S101,S102,S103,S104,S179,S180,S181,S182,S105,S107,S183,S184,S185,S186,S109,S110,S111,S187,S188,S189,S190,S112,S113,S191,S192,S193,CDFMT_6,CDFMT_7,CDFMT_8,CDFMT_9,CDFMT_44,NextSeq1_1-4,NextSeq1_1-5,NextSeq1_1-6,220509_CDFMT-62,220509_CDFMT-63,220509_CDFMT-64,220509_CDFMT-65,Expt2_eng_stool_5,Expt2_eng_stool_8,Expt2_eng_stool_7,Expt2_eng_stool_6,S198,S199,DLAP-S114,DLAP-S115,DLAP-S116,S202,S203,S204,S205,CDFMT_10,CDFMT_11,CDFMT_12,CDFMT_13,NextSeq1_1-7,NextSeq1_1-8,NextSeq1_1-9,Expt2_eng_stool_10,Expt2_eng_stool_9,CDFMT_14,CDFMT_15,CDFMT_16,CDFMT_17,NextSeq1_1-10,NextSeq1_1-11,NextSeq1_1-12,NextSeq1_1-13,220509_CDFMT-68,220509_CDFMT-69,Expt2_eng_stool_14,Expt2_eng_stool_13,Expt2_eng_stool_12,Expt2_eng_stool_11,NextSeq1_1-14,NextSeq1_1-15,NextSeq1_1-16,220509_CDFMT-70,220509_CDFMT-71,220509_CDFMT-72,Expt2_eng_stool_17,Expt2_eng_stool_16,Expt2_eng_stool_15,Expt2_eng_stool_18,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S160,S161,S162,S167,S168,S169,S170,S194,S195,S196,S197,S210,S211,S212,S214,S215,S216,S217,S218,S219,S220,S221,S222,S223,S224,S225,S226,S227,S228,S229,S230,S231,S252,S253,S254,S255,S260,S262,S263,S268,S269,S270,S271,S272,S273,S274,S275,S300,S301,S302,S303,S304,S305,S306,S307,S308,S309,S310,S311,S312,S313,S314,S315,S316,S321,S322,S323,CDFMT_18,CDFMT_19,CDFMT_21,CDFMT_22,CDFMT_40,S100,220509_CDFMT-102,220509_CDFMT-104,220509_CDFMT-35,220509_CDFMT-36,220509_CDFMT-37,220509_CDFMT-38,220509_CDFMT-39,220509_CDFMT-40,220509_CDFMT-41,220509_CDFMT-42,220509_CDFMT-44,220509_CDFMT-45,220509_CDFMT-46,220509_CDFMT-47,220509_CDFMT-49,220509_CDFMT-50,220509_CDFMT-51,220509_CDFMT-54,220509_CDFMT-55,220509_CDFMT-56,220509_CDFMT-57,220509_CDFMT-66,220509_CDFMT-73,220509_CDFMT-74,220509_CDFMT-75,220509_CDFMT-76,220509_CDFMT-77,220509_CDFMT-87,220509_CDFMT-88,220509_CDFMT-89,220509_CDFMT-90,220509_CDFMT-91,220509_CDFMT-92,220509_CDFMT-93,220509_CDFMT-94,220509_CDFMT-95,220509_CDFMT-96,NextSeq1_1-17,CDFMT_20
k__Bacteria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.97239,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.26192,99.89833,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.90952,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
k__Bacteria|p__Bacteroidetes,0,0.00146,0,0,0,0,0,0,0.00549,0,0.00447,0,0,0,0,0,49.99886,62.29189,56.49494,56.22938,63.29361,45.98223,51.8158,53.00336,53.43523,57.83788,55.20264,54.86903,53.31122,56.20187,57.50018,62.76444,50.94963,56.25099,58.28655,49.12275,56.40087,56.55367,51.60668,51.56191,48.974,50.53908,51.38547,50.7317,63.17364,56.34606,51.21525,50.32229,48.60977,47.06264,52.23445,53.69959,42.84403,43.02575,48.669,48.77685,0,0,0,0,0,0,0,0,78.4363,74.12258,36.47716,47.95297,28.79026,53.35635,47.14871,48.53246,52.93157,29.3686,33.13109,50.06619,69.94751,55.62922,49.95167,51.83902,21.14288,27.19328,72.80611,65.89187,64.20761,63.85793,66.78414,64.31779,61.87745,64.3959,63.45178,63.50811,43.65186,48.97717,48.09036,48.81262,51.59451,49.55065,50.67248,56.84536,58.54409,65.48083,43.63263,44.12546,39.34998,49.1119,49.59754,65.9058,57.96385,50.63722,61.79221,59.54198,56.23697,56.57468,56.93405,59.52492,63.28307,55.58337,53.70542,56.83279,63.18089,62.40975,63.90957,52.19028,54.96168,53.63811,50.07046,72.39028,52.97959,56.68963,41.30665,49.1689,47.34404,40.78699,43.68393,43.9554,47.19795,60.28286,58.13883,56.3787,55.19061,53.31645,58.25393,53.13093,52.29107,51.2714,63.44105,61.00748,45.24362,48.72788,43.96407,46.41791,54.37881,49.23768,49.05207,44.17967,40.75512,47.41387,39.08571,42.76692,69.90561,67.91561,42.00876,41.83874,52.88581,61.22598,55.82804,44.42184,28.48534,45.76981,48.58452,53.27313,47.20281,57.72074,52.18727,49.95388,45.97419,51.4618,49.47478,47.98876,57.34593,55.91939,59.7245,56.93553,38.98852,44.72686,42.8619,44.88554,74.93066,75.58999,53.91611,60.10528,51.71392,57.54581,62.21629,57.64439,20.28928,0,0.82125,58.07248,60.18914,0,0,0,0,0,0,0,0,23.158,51.25992,65.65848,67.27455,52.31978,57.2722,55.51485,54.49349,59.97653,49.57216,52.60621,16.46855,60.16686,61.78251,63.20534,51.62113,44.25967,0,0,0,0,0,12.06705,34.46903,53.19132,53.27168,62.06828,57.00972,50.4762
k__Bacteria|p__Firmicutes,91.21686,88.99013,88.38847,90.38091,92.6776,84.17639,86.51699,90.46022,90.57413,91.36719,83.98518,88.65114,86.7709,85.49856,81.6871,83.56808,48.89346,37.20398,41.78471,42.44668,35.47644,52.78294,46.15654,44.79021,43.49622,39.84501,42.3114,42.57283,44.99597,41.65295,40.87153,35.11144,46.59884,41.63073,40.21893,49.09426,36.48997,38.88561,42.21662,43.80676,46.60199,45.34576,40.98015,49.01257,36.55754,43.22678,48.56486,49.41686,49.5188,50.06662,46.34843,44.02661,55.3135,55.34488,49.42502,49.92456,98.92303,99.21455,98.79407,99.34426,99.1733,98.73649,99.35524,99.01915,13.35197,20.35506,60.89255,49.6918,65.11562,44.77999,51.25271,48.74305,44.75604,63.70573,58.98556,42.30862,23.25506,39.41578,42.77447,42.79529,57.44944,55.87789,25.09003,30.42729,31.46239,33.45766,31.80162,33.98728,36.46597,34.12777,34.20568,33.27015,49.78572,45.47138,46.77686,41.68034,46.9976,48.89907,47.43028,38.06073,36.59484,32.54108,53.84614,52.03062,54.47459,46.73184,49.17148,32.98184,40.67565,48.13854,36.17685,38.06377,39.80231,39.90243,41.94364,38.4077,35.41862,39.24033,40.13487,37.65064,36.67713,37.37694,35.8231,40.01564,38.20378,41.53982,39.71033,24.27673,42.61735,40.97788,56.69275,48.69225,50.52949,52.05517,50.22377,48.24516,42.43756,38.36623,40.15749,42.16069,42.20318,42.68085,39.37128,43.35511,46.29332,47.15762,34.39319,36.87832,47.45277,45.59019,51.06338,46.72348,45.16606,50.34964,50.73749,55.60532,48.55144,46.32815,54.51759,47.52366,18.26647,23.63361,54.90823,55.441,44.56392,37.4305,42.40431,54.15271,69.30071,50.26135,49.29432,44.02688,49.89124,40.06887,45.48775,47.76242,48.57937,42.80869,44.57657,45.89428,42.29445,43.69826,39.81104,42.68221,53.94861,48.07396,50.95887,47.91701,16.01337,18.93379,43.84069,37.45541,46.42931,34.75616,34.71777,36.90982,78.53635,92.54152,18.0519,40.38037,38.32672,85.88597,89.65687,81.06839,88.85358,99.13477,99.1891,99.5102,99.31289,68.63746,44.16808,29.17291,27.57821,44.3639,36.02161,38.65387,43.77548,38.46395,48.79747,45.56161,70.29095,36.52478,36.25714,35.09208,46.55731,53.61058,92.41115,98.94772,99.21453,99.517,99.52652,76.6917,52.06584,43.15926,43.9775,30.67759,41.68959,46.19409
k__Bacteria|p__Actinobacteria,0.88693,1.45326,0.95116,0.57501,0.34398,1.59723,4.14618,1.80391,1.36401,0.85149,4.77787,2.1894,3.77121,4.64011,6.48812,8.88231,0.27119,0.33458,0.22132,0.3022,0.28868,0.19186,0.33663,0.27253,0.35811,0.17779,0.18997,0.48942,0.24121,0.26239,0.2011,0.66984,0.89854,0.81543,0.39884,0.50647,0.15462,0.28639,0.21457,0.30812,0.23212,0.15564,0.16835,0.25572,0.26883,0.23758,0.21989,0.26086,0.56632,1.65682,0.81909,0.9353,0.64663,0.68873,0.62675,0.55398,1.07697,0.74127,1.20593,0.65574,0.8267,1.26351,0.64476,0.98085,6.08501,3.2866,1.23917,0.88269,4.06184,0.20006,0.15786,0.24215,0.24976,0.23741,0.26414,0.13979,0.31474,0.3197,0.34916,0.22089,1.21283,0.72799,0.21551,0.3213,1.54418,0.51791,0.17364,0.39589,0.42544,0.4283,1.2984,0.64772,0.48902,0.53463,1.08637,0.72172,0.53795,0.60297,0.49295,1.63723,1.39421,0.48465,1.38045,2.05344,4.7511,2.47268,0.22655,0.13562,0.26234,0.21501,0.14051,0.23012,0.28728,0.2607,0.55976,0.70155,0.45417,0.13237,0.17618,0.11978,0.14198,0.21331,0.26733,0.14365,0.11292,0.09657,0.25254,1.25104,1.13262,0.29903,0.27604,0.22729,0.25582,0.19929,0.21814,0.14001,0.09626,0.33717,0.32859,0.30849,0.19617,0.47968,0.26625,0.32863,0.48132,0.58929,0.19924,0.38613,0.48113,0.2774,0.39483,0.26915,0.16691,0.14625,0.21044,0.21502,0.34969,0.19563,0.13826,0.16776,5.96703,4.61778,0.37933,0.30823,0.20953,0.26438,0.35255,0.18616,0.43676,1.02474,0.46898,0.48042,1.28544,0.74645,0.49931,0.59339,0.31526,0.24617,0.15721,0.15352,0.15314,0.20883,0.28399,0.21367,0.18858,0.23787,0.10487,0.1405,7.06904,3.49795,0.16345,0.18658,0.13592,6.55777,1.54572,4.39489,0.28133,0.39965,0,0.15502,0.15946,3.22162,4.34801,8.00588,4.38154,0.86523,0.8109,0.4898,0.68711,0.4464,0.4175,0.57798,0.54441,1.75616,5.97897,4.66808,0.26266,0.10608,0.26126,0.28718,0.60728,1.57771,0.24848,0.08574,0.17385,0.09894,2.40317,1.05228,0.78547,0.483,0.47348,0.88548,0.7092,0.38509,0.25985,0.55677,0.49272,1.22624
k__Bacteria|p__Proteobacteria,1.44017,1.02381,1.20469,0.41852,0.35262,0.21695,0,0.78538,0.81008,0.0922,0,0.48704,0.10285,0.16607,0.38655,0.37974,0.83648,0.16955,1.49904,1.02174,0.94127,1.04297,1.69103,1.93389,2.71044,2.13932,2.29599,2.06873,1.4516,1.88279,1.42719,1.45428,1.55299,1.30285,1.09569,1.24891,1.23119,1.19985,1.1086,1.17816,0.97644,1.03452,0.95671,0,0,0.18958,0,0,1.2527,1.12635,0.34395,1.30787,0.68783,0.87872,0.62123,0.56491,0,0.04418,0,0,0,0,0,0,2.12672,2.23575,1.39112,1.47254,2.03229,1.66361,1.44071,2.48234,2.06263,1.05884,1.1876,2.19892,1.5832,1.06414,1.07406,0.68965,2.11906,2.24621,1.83868,2.40031,1.59669,2.00046,0.44836,0.52349,0.37979,0.46886,0.36831,1.28804,1.77258,3.36838,1.98105,2.81123,0.86993,0.94731,1.40429,3.45669,3.46686,1.49344,1.14078,1.79048,1.42434,1.68359,1.00443,0.97675,1.09816,1.00922,1.89043,2.16412,3.67345,3.2622,0.56256,1.36584,0.84414,0.88642,1.03336,0.86572,0,0,0,1.3538,1.71091,1.22652,2.4489,2.08196,3.27044,2.03347,1.72457,1.91156,1.87064,1.18952,1.41411,1.17496,1.39762,1.01374,1.37509,1.15211,2.41003,3.52303,2.10854,3.18532,0.93429,0.98169,1.22844,1.6264,1.99932,1.26943,0.95763,1.43854,0.28822,0.26642,0,0,1.8095,1.90383,1.32181,2.05923,5.86088,3.83299,2.70368,2.41202,2.34073,1.07914,1.41509,1.23929,1.7772,2.9441,1.65218,2.21958,1.62051,1.46394,1.7352,1.69031,1.26513,1.21947,1.04494,1.13929,0.20648,0.17351,0.18047,0.16859,1.04022,1.27088,1.12386,1.24815,1.98693,1.97828,2.07975,2.25273,1.72085,1.14026,1.52022,1.0509,0.89303,0.20814,81.12685,1.39213,1.32468,0.01995,0.06402,0.54977,0.39983,0,0,0,0,1.87231,2.96994,2.16753,2.37917,1.56017,0.72723,1.16319,1.46837,1.45344,1.36911,1.545,4.02738,1.73066,1.71188,1.61684,1.64772,2.0308,0.94293,0,0,0,0,2.50175,2.79101,1.32625,1.08806,5.27476,0.80797,2.10348
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,0,0.00146,0,0,0,0,0,0,0.00549,0,0.00447,0,0,0,0,0,49.99886,62.29189,56.49494,56.22938,63.29361,45.98223,51.8158,53.00336,53.43523,57.83788,55.20264,54.86903,53.31122,56.20187,57.50018,62.76444,50.94963,56.25099,58.28655,49.12275,56.40087,56.55367,51.60668,51.56191,48.974,50.53908,51.38547,50.7317,63.17364,56.34606,51.21525,50.32229,48.60977,47.06264,52.23445,53.69959,42.84403,43.02575,48.669,48.77685,0,0,0,0,0,0,0,0,78.4363,74.12258,36.47716,47.95297,28.79026,53.35635,47.14871,48.53246,52.93157,29.3686,33.13109,50.06619,69.94751,55.62922,49.95167,51.83902,21.14288,27.19328,72.80611,65.89187,64.20761,63.85793,66.78414,64.31779,61.87745,64.3959,63.45178,63.50811,43.65186,48.97621,48.09036,48.81262,51.59451,49.55065,50.67248,56.84536,58.54409,65.48083,43.63263,44.12546,39.34998,49.1119,49.59754,65.9058,57.96385,50.63722,61.79221,59.54198,56.23697,56.57468,56.93405,59.52492,63.28307,55.58337,53.70542,56.83279,63.18089,62.40975,63.90957,52.19028,54.96168,53.63811,50.07046,72.39028,52.97959,56.68963,41.30665,49.1689,47.34404,40.78699,43.68393,43.9554,47.19795,60.28286,58.13883,56.3787,55.19061,53.31645,58.25393,53.13093,52.29107,51.2714,63.44105,61.00748,45.24362,48.72788,43.96407,46.41791,54.37881,49.23768,49.05207,44.17967,40.75512,47.41387,39.08571,42.76692,69.90561,67.91561,42.00876,41.83874,52.88581,61.22598,55.82804,44.42184,28.48534,45.76981,48.58452,53.27313,47.20281,57.72074,52.18727,49.95388,45.97419,51.4618,49.47478,47.98876,57.34593,55.91939,59.7245,56.93553,38.98852,44.72686,42.8619,44.88554,74.93066,75.58999,53.91611,60.10528,51.71392,57.54581,62.21629,57.64439,20.28928,0,0.82125,58.07248,60.18914,0,0,0,0,0,0,0,0,23.158,51.25992,65.65848,67.27455,52.31978,57.2722,55.51485,54.49349,59.97653,49.57216,52.60621,16.46855,60.16686,61.78251,63.20534,51.62113,44.25967,0,0,0,0,0,12.06705,34.46903,53.19132,53.27168,62.06828,57.00972,50.4762
k__Bacteria|p__Firmicutes|c__Clostridia,88.20808,84.99434,86.02043,89.99311,92.12355,82.95875,82.5055,87.03477,82.50139,88.78115,82.49841,84.56988,83.54269,82.99145,78.41405,80.11925,45.54985,33.80216,39.37809,36.75956,31.23045,44.85193,32.21087,31.72136,32.05497,26.55006,39.30058,37.78392,39.09825,34.71268,38.46238,28.28803,45.67045,40.31106,39.00299,47.38649,28.47233,34.66029,38.28528,39.32594,41.88456,41.74099,35.95811,37.95253,28.14415,38.69167,43.35191,42.45774,35.8799,47.28687,44.37143,41.59046,47.08419,49.72109,45.69041,43.68523,93.30611,94.63626,91.31824,82.04333,92.04451,93.15682,90.26418,83.08143,9.46771,12.91409,56.83573,44.03175,57.36077,42.67606,49.75586,44.8958,41.24398,61.33329,56.58853,32.53813,20.28151,34.80009,38.33467,36.32707,53.77056,52.52038,21.24028,25.48921,27.56216,28.07181,18.2618,18.76255,20.02432,20.90555,26.89276,26.20608,35.35916,43.71243,41.12197,34.77437,45.24821,47.95339,44.78704,34.68239,35.43486,31.85019,51.77519,50.44365,52.18097,45.77501,41.84513,30.45036,35.29446,44.79526,31.46368,32.47918,31.9,34.15581,40.92836,32.11145,31.85396,34.74236,35.73057,34.35406,31.84161,31.59206,29.40228,36.50786,34.51247,37.45397,37.54346,16.37439,25.97691,33.87448,54.83151,45.66664,48.98692,36.67225,39.52193,38.88247,33.99846,32.70096,37.49204,36.84854,39.50925,38.7518,35.01818,37.93666,45.32989,46.23502,30.21624,30.85663,44.84606,40.7949,46.31901,42.0276,40.03797,45.46551,45.47507,48.82892,37.92148,39.08183,32.92131,34.01219,11.0578,15.7106,53.19746,52.31951,37.39363,31.57184,38.35958,43.97662,63.26115,47.9324,43.89082,40.8533,48.40579,38.1895,43.65593,45.65056,44.14401,38.95154,39.52777,40.15066,37.27228,38.96568,33.20466,36.99638,44.79937,39.40476,43.30006,40.47811,10.71889,10.95166,41.8383,35.48833,42.41687,31.10174,32.35477,34.30452,64.01976,92.32819,0.86079,35.8265,32.68585,82.85776,87.73655,78.61304,84.94493,93.92039,94.34654,90.50331,93.27792,62.77821,40.18599,22.02612,20.20511,41.0244,33.65879,37.16889,39.17164,34.83753,43.64274,38.96885,52.62537,34.971,34.11278,31.80881,30.20692,25.96373,88.26963,94.09731,95.89978,96.81913,96.8059,70.48879,45.44462,38.351,39.51444,24.20529,40.69978,36.25894
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,1.85587,2.68091,0.99936,0.3878,0.55405,1.18948,3.88114,3.42545,7.83161,2.06991,1.38513,4.06698,3.22821,2.41622,3.03936,3.25318,2.13383,1.88338,0.99164,4.28266,2.57759,6.58602,13.94314,13.06885,11.44125,13.29495,3.01082,4.76741,5.89047,6.8997,0,3.29282,0,0,0.27434,0.19963,6.3374,1.79848,2.20385,3.10936,3.47472,2.23879,3.83205,9.6248,7.75137,4.51434,5.05927,6.82782,2.98726,2.12463,1.915,1.58842,4.55725,3.31078,3.49502,3.8595,5.06943,4.23115,6.81694,8.03681,5.71315,5.26836,4.93224,6.29155,3.00323,6.62801,3.178,1.93498,3.07147,2.10393,1.49685,2.9899,3.36866,1.93605,1.97887,6.22165,2.47193,4.5005,4.43116,6.45529,2.54071,2.81997,3.84608,4.88838,3.88369,5.30296,3.39683,2.55611,2.39148,2.49646,7.15891,6.8336,3.72833,1.72222,5.364,6.73733,1.31423,0.77798,0.48939,2.7997,1.00966,0.66531,1.92563,1.37284,1.24441,0.78339,6.24314,1.27927,4.12719,2.29089,4.69185,5.56483,7.89611,5.74224,0,3.49095,2.59275,2.824,2.92231,1.97429,4.81154,5.77896,6.18988,2.05682,2.41574,2.65352,0.83317,5.73328,13.89899,7.09909,1.86123,1.80934,1.34319,1.56934,1.69755,1.31636,1.48095,4.78387,1.45208,4.06439,2.69298,3.90495,4.3531,5.4154,0,0,0.01375,1.21755,1.6698,3.48833,3.29568,3.31152,5.1114,4.86874,5.13136,6.61186,1.56097,2.33409,1.38982,0.8635,5.48329,6.30223,1.70891,2.19477,4.56325,3.93009,1.92764,8.26096,3.26323,2.31944,5.4003,3.14995,0,0,0.33951,0.40524,2.7293,2.65494,3.41035,4.32735,5.00313,4.71734,6.55147,5.63309,1.39412,1.74372,1.25628,1.65751,4.13499,7.1486,2.00027,1.96708,2.96831,2.84166,1.49346,1.72211,10.84194,0.20797,0,2.67556,1.876,2.93232,1.82708,2.38677,3.76249,4.75244,4.68277,5.12789,4.01216,2.74831,3.60739,6.85215,7.06632,2.96094,2.01548,1.42075,2.06171,1.96541,3.26126,3.15296,5.61964,1.48236,0.96357,1.68308,2.33715,4.96796,4.12971,4.44451,3.20135,2.67136,2.66044,5.01305,1.64928,4.43749,3.48317,5.54991,0.8703,1.46971
k__Bacteria|p__Actinobacteria|c__Coriobacteriia,0.39693,0.52359,0.42517,0.45983,0.34398,0.42923,0.60882,0.35314,0.46847,0.2531,0.79836,0.53326,0.26973,0.21677,0.46072,0.3928,0.27119,0.33458,0.22132,0.3022,0.28868,0.19186,0.33663,0.27253,0.35811,0.17779,0.18997,0.48942,0.24121,0.26239,0.16947,0.33536,0.49566,0.4632,0.32211,0.43855,0.15462,0.109,0.2032,0.30812,0.23212,0.15564,0.16835,0.25572,0.26883,0.23758,0.21989,0.26086,0.56632,1.65682,0.81909,0.9353,0.64663,0.68873,0.62675,0.55398,1.07697,0.74127,1.20593,0.65574,0.8267,1.26351,0.64476,0.98085,0,0,0.32669,0.16656,0.27724,0.20006,0.15786,0.24215,0.24976,0.23741,0.26414,0.13979,0.31474,0.3197,0.34916,0.22089,1.21283,0.72799,0.20697,0.2789,0.65581,0.39264,0.14017,0.37951,0.36672,0.40996,0.57359,0.4758,0.42368,0.45429,0.9336,0.64668,0.53795,0.60297,0.49295,1.44944,0.92493,0.28288,1.22883,1.84315,1.85674,1.70644,0.22655,0.13562,0.26234,0.21501,0.14051,0.23012,0.28728,0.2607,0.37623,0.26721,0.44713,0.13237,0.17618,0.11978,0.14198,0.21331,0.26733,0.13968,0.10434,0.09657,0.22547,0,0,0.23264,0.24808,0.21988,0.19872,0.19929,0.21814,0.14001,0.09626,0.33717,0.32859,0.30849,0.19617,0.47968,0.26625,0.32863,0.34477,0.46595,0.17283,0.34397,0.48113,0.2774,0.39483,0.26915,0.16691,0.14625,0.21044,0.21502,0.34969,0.19563,0.13826,0.16776,0,0,0.37933,0.30823,0.20953,0.26438,0.35255,0.18616,0.43676,1.02474,0.46898,0.48042,0.80377,0.39441,0.39689,0.46386,0.31526,0.24617,0.15721,0.15352,0.15314,0.20883,0.28399,0.21367,0.18858,0.23787,0.10487,0.1405,0,0,0.16345,0.18658,0.13592,0.72832,0.54457,0.6105,0.28133,0.34225,0,0.15502,0.15946,0.31882,0.5354,0.8668,0.51937,0.86523,0.8109,0.4898,0.68711,0.4464,0.38722,0.57798,0.54441,1.13123,1.56471,1.76607,0.26266,0.10608,0.26126,0.28718,0.60728,0.81359,0.24438,0.07654,0.16088,0.09894,0.35269,1.05228,0.78547,0.483,0.47348,0.88548,0.7092,0.37798,0.25985,0.5365,0.47387,0.83458
k__Bacteria|p__Firmicutes|c__Bacilli,1.03293,0.86753,1.36868,0,0,0.01334,0.01956,0,0.02479,0.28267,0.0061,0,0,0,0.22348,0.16917,0,0,0,0.38914,0.03312,0,0.00254,0,0,0,0,0.02151,0.00726,0.04057,0.95186,3.53059,0.06616,0.21336,0.94159,1.50813,0,0.63497,0,0,0,0.00821,0.05939,1.37672,0.66068,0,0.12704,0.1038,10.50585,0.43507,0,0.69005,3.61137,2.21055,0.13185,2.30798,0.27694,0,0.48167,9.14313,1.25549,0.21251,4.08384,9.53893,0.88103,0.81296,0.87882,3.72507,4.68338,0,0,0.82801,0.0897,0.06227,0.01442,1.51827,0.1087,0.08076,0,0.00057,0.2198,0.05025,0,0,0,0,0,0,0,0,0,0,0.08815,0.02405,0.22353,0.05863,0.35063,0.07932,2.08313,0.23903,0.12061,0.01365,0.05693,0.09972,1.04282,0.17343,0.00075,0,0.00751,0.03812,0.02132,0.01976,0.0062,0.00438,0.06548,2.8053,0.97191,0,0.0525,0.06626,0.00055,0,0.20735,0.02571,0.11052,0.42323,0,2.16907,2.74145,0.0043,0,1.21627,0.19938,12.51044,7.99476,7.1977,6.01746,0,0.00106,0,0,0.00056,0,0.00305,0.13624,0.02979,4.16319,4.80414,0,0,0,0.21625,0,0,0.09299,0.1006,7.80748,3.98411,19.3569,11.79935,1.72538,1.62078,0,0.91558,2.58088,0.28201,0.01573,0.21894,0.34009,0.0095,0.0032,0.02363,0.27789,0.71951,1.49231,1.70662,0.00153,0.04426,0.39197,0.19195,0,0,0.02665,0.03305,6.03827,5.37535,5.58806,4.91319,1.15949,0.83352,0.00212,0,1.02951,0.76688,0.83999,0.8522,3.67465,0.00536,17.15893,0,2.26026,0.01564,0,0.06058,0.00777,0.21091,0.01951,3.81282,1.88708,0.72971,0.25402,0.19925,0.20607,0.33447,0.32512,0.06422,0.00781,0,0.38281,1.93573,5.38303,0.04426,0,0,12.93846,22.67889,0,0.28262,0.0301,0,0,0.35527,2.67303,0.04857,0.79797,0.86929,0.07002,8.00165
